Round,Name,Link,Spreadsheet,State,Solution,Meta
The Ministry,Just a Dream,https://www.bookspace.world/puzzle/just-a-dream/,,0,,0
The Ministry,Crewel,https://www.bookspace.world/puzzle/crewel/,https://docs.google.com/spreadsheets/d/1KEKVj_QIR4d81bWZSq4-KSgRSrwMl3jRBIjzugtAApg/edit#gid=0,2,GOSPEL OF ST LUKE,0
The Ministry,A Wrinkle in Time,https://www.bookspace.world/puzzle/a-wrinkle-in-time/,https://docs.google.com/spreadsheets/d/1osvHYJoRrDiVDfOfX1D_pw5HUy3xsOaO20nUhvsGtGk/edit#gid=0,1,,0
Noirleans,The Case of the Missing Component,https://www.bookspace.world/puzzle/the-case-of-the-missing-component/,https://docs.google.com/spreadsheets/d/1OkfX8VGeFt7UvigCXBhdRR1mH4tC6-NNnX_nLtxp_CM/edit?usp=sharing,0,,1
Noirleans,Crooked Crossings,https://www.bookspace.world/puzzle/crooked-crossings/,https://docs.google.com/spreadsheets/d/13GbKKnXw-JdwQLFqn8yqK2MVrVMmgOMMcnMqLlnf9NA/edit?usp=sharing ,0,,0
Noirleans,Curious and Determined,https://www.bookspace.world/puzzle/curious-and-determined/,https://docs.google.com/spreadsheets/d/13aF3gezwb0qaYReaK_SdKDq7XapKZ-d0sfTjBFviU-g/edit?usp=sharing ,0,,0
Noirleans,Dancing Triangles,https://www.bookspace.world/puzzle/dancing-triangles/,https://docs.google.com/spreadsheets/d/15OxP3eJhyeqYnylHNL0YoqvEaakgOhaGQruZKePJQJ0/edit?usp=sharing ,0,,0
Noirleans,The Downtown Murders,https://www.bookspace.world/puzzle/the-downtown-murders/,https://docs.google.com/spreadsheets/d/16TDmwqgtUHpZ2xsGrYMUx8NTtHrPqOk-09v4Xln-oac/edit?usp=sharing ,0,,0
Noirleans,The Hound of the Vast-Cur Villes,https://www.bookspace.world/puzzle/the-hound-of-the-vast-cur-villes/,https://docs.google.com/spreadsheets/d/1Pi0A2G50Lr4eL2_gt1BAv8PNBXrqKGz3AJNg2ei5shQ/edit?usp=sharing ,0,,0
Noirleans,I don't Have a Clue!,https://www.bookspace.world/puzzle/i-dont-have-a-clue/,https://docs.google.com/spreadsheets/d/1TM1wquMH_mukseOxIzj7Uvird_4bx20A53PlxzP9Ul4/edit?usp=sharing ,0,,0
Noirleans,Mysterious Mechanics,https://www.bookspace.world/puzzle/mysterious-mechanics/,https://docs.google.com/spreadsheets/d/1ZgXKBDJt-enhBZUElzJ5fPUbTyRYSFmLVgyZy0PEuIw/edit?usp=sharing ,0,,0
Noirleans,Once is Happenstance,https://www.bookspace.world/puzzle/once-is-happenstance/,https://docs.google.com/spreadsheets/d/1gaI3hSed6JfvIjwRZpmfq2OlfahTzKOb2BQOCDdrKks/edit?usp=sharing ,0,,0
Noirleans,Please Prove You Are Human,https://www.bookspace.world/puzzle/please-prove-you-are-human/,https://docs.google.com/spreadsheets/d/1iw-AQk6X6aCyyaYlLyieklvrImo2DAT8L03AQxBx_TE/edit?usp=sharing ,0,,0
Noirleans,SparksNotes,https://www.bookspace.world/puzzle/sparksnotes/,https://docs.google.com/spreadsheets/d/1qKqg4VL6S4NvdCp83hpxoIF46SrbH2jAXKTJe12P_jI/edit?usp=sharing ,0,,0
Noirleans,Strange Garnets,https://www.bookspace.world/puzzle/strange-garnets/,https://docs.google.com/spreadsheets/d/1w0LK7K59jo1Z_V8iWVDaFirkfNjbCQ8vyD1xafyQ_Tc/edit?usp=sharing ,0,,0
Noirleans,The Thin Pan,https://www.bookspace.world/puzzle/the-thin-pan/,https://docs.google.com/spreadsheets/d/1xfeSllCgDn41VYTMsJds95PJa9umaxWKB5tAtvOkoNg/edit?usp=sharing,0,,0
Noirleans,Trickster Tales,https://www.bookspace.world/puzzle/trickster-tales/,https://docs.google.com/spreadsheets/d/1zDao06Z3CPeS8cnND3XpPDKI_tYqHVPEQ6VS-41sCFk/edit?usp=sharing,0,,0
Lake Eerie,Meta: The Graveyard,https://www.bookspace.world/puzzle/the-graveyard/,,0,,1
Lake Eerie,Albumista-numerophobia,https://www.bookspace.world/puzzle/albumistanumerophobia/,,0,,0
Lake Eerie,🔔🦇🦇🦇,https://www.bookspace.world/puzzle/🔔🦇🦇🦇/,,0,,0
Lake Eerie,Called Onto The Carpet,https://www.bookspace.world/puzzle/called-onto-the-carpet/,,0,,0
Lake Eerie,The Colour Out of Space,https://www.bookspace.world/puzzle/the-colour-out-of-space/,,0,,0
Lake Eerie,Endless Practice,https://www.bookspace.world/puzzle/endless-practice/,,0,,0
Lake Eerie,Frankenstein's Music,https://www.bookspace.world/puzzle/frankenstein's-music/,,0,,0
Lake Eerie,Jump Scares,https://www.bookspace.world/puzzle/jump-scares/,,0,,0
Lake Eerie,Large-scale Anthropomorphism,https://www.bookspace.world/puzzle/large-scale-anthropomorphism/,,0,,0
Lake Eerie,Lessons Learned from Porcine Construction,https://www.bookspace.world/puzzle/lessons-learned-from-porcine-construction/,,0,,0
Lake Eerie,Lord of the Flies,https://www.bookspace.world/puzzle/lord-of-the-flies/,,0,,0
Lake Eerie,The Mad Scientist's Assistant,https://www.bookspace.world/puzzle/the-mad-scientists-assistant/,,0,,0
Lake Eerie,Rack 'em Up,https://www.bookspace.world/puzzle/rack-em-up/,,0,,0
Lake Eerie,Scream,https://www.bookspace.world/puzzle/scream/,,0,,0
Lake Eerie,Shields,https://www.bookspace.world/puzzle/shields/,,0,,0
Lake Eerie,Trust Nobody,https://www.bookspace.world/puzzle/trust-nobody/,,0,,0
Lake Eerie,What's in the Box? What's in the Box?,https://www.bookspace.world/puzzle/whats-in-the-box-whats-in-the-box/,,0,,0
The Quest Coast,Meta: Once Upon a Time in the Quest,https://www.bookspace.world/puzzle/once-upon-a-time-in-the-quest/,,0,,1
The Quest Coast,Curious Customs,https://www.bookspace.world/puzzle/curious-customs/,,0,,0
The Quest Coast,The Enchanted Garden,https://www.bookspace.world/puzzle/the-enchanted-garden/,,0,,0
The Quest Coast,Magically Delicious,https://www.bookspace.world/puzzle/magically-delicious/,,0,,0
The Quest Coast,A Number of Games,https://www.bookspace.world/puzzle/a-number-of-games/,,0,,0
The Quest Coast,Potions,https://www.bookspace.world/puzzle/potions/,,0,,0
The Quest Coast,Royal Steeds,https://www.bookspace.world/puzzle/royal-steeds/,,0,,0
The Quest Coast,Something Command,https://www.bookspace.world/puzzle/something-command/,,0,,0
The Quest Coast,Sorcery for Dummies,https://www.bookspace.world/puzzle/sorcery-for-dummies/,,0,,0
New You City,Introspection,https://www.bookspace.world/puzzle/introspection/,,0,,1
New You City,Bad Beginnings,https://www.bookspace.world/puzzle/bad-beginnings/,,0,,0
New You City,My Dinner With Big Boi,https://www.bookspace.world/puzzle/my-dinner-with-big-boi/,,0,,0
New You City,❤️ & ☮️,https://www.bookspace.world/puzzle/%E2%9D%A4%EF%B8%8F--%E2%98%AE%EF%B8%8F/,,0,,0
New You City,Book Reports,https://www.bookspace.world/puzzle/book-reports/,,0,,0
New You City,Lentalgram,https://www.bookspace.world/puzzle/lentalgram/,,0,,0
New You City,Does Any Kid Still Do This Anymore?,https://www.bookspace.world/puzzle/does-any-kid-still-do-this-anymore/,,0,,0
New You City,Proof by Induction,https://www.bookspace.world/puzzle/proof-by-induction/,,0,,0
New You City,First You GO to…,https://www.bookspace.world/puzzle/first-you-go-to/,,0,,0
New You City,Everybody Must Get Rosetta Stoned,https://www.bookspace.world/puzzle/everybody-must-get-rosetta-stoned/,,0,,0
New You City,This or That,https://www.bookspace.world/puzzle/this-or-that/,,0,,0
New You City,49ers,https://www.bookspace.world/puzzle/49ers/,,0,,0
New You City,Word Search of Babel,https://www.bookspace.world/puzzle/word-search-of-babel/,,0,,0
New You City,Tech Support,https://www.bookspace.world/puzzle/tech-support/,,0,,0
Recipeoria,Shopping List,https://www.bookspace.world/puzzle/shopping-list/,,0,,1
Recipeoria,Boom Shakashaka!,https://www.bookspace.world/puzzle/boom-shakashaka!/,,0,,0
Recipeoria,Drive-Thru Dilemma,https://www.bookspace.world/puzzle/drive-thru-dilemma/,,0,,0
Recipeoria,Eat Your Words,https://www.bookspace.world/puzzle/eat-your-words/,,0,,0
Recipeoria,Fruits Stickers,https://www.bookspace.world/puzzle/fruits-stickers/,,0,,0
Recipeoria,Hell's Kitchen,https://www.bookspace.world/puzzle/hell's-kitchen/,,0,,0
Recipeoria,Ice Cream Roll,https://www.bookspace.world/puzzle/ice-cream-roll/,,0,,0
Recipeoria,A Night Out With Your Buds,https://www.bookspace.world/puzzle/a-night-out-with-your-buds/,,0,,0
Recipeoria,Protein,https://www.bookspace.world/puzzle/protein/,,0,,0
Recipeoria,The Salt-N-Pepa Diner,https://www.bookspace.world/puzzle/the-salt-n-pepa-diner/,,0,,0
Recipeoria,Sunday Dinner,https://www.bookspace.world/puzzle/sunday-dinner/,,0,,0
Heartford,The Masquerade Ball,https://www.bookspace.world/puzzle/the-masquerade-ball/,,0,,1
Heartford,Pretty Good Chemistry,https://www.bookspace.world/puzzle/pretty-good-chemistry/,,0,,0
Heartford,Crowning Achievement,https://www.bookspace.world/puzzle/crowning-achievement/,,0,,0
Heartford,Beaux Taurus,https://www.bookspace.world/puzzle/beaux-taurus/,,0,,0
Heartford,La Ronde,https://www.bookspace.world/puzzle/la-ronde/,,0,,0
Heartford,Tryst of Fate,https://www.bookspace.world/puzzle/tryst-of-fate/,,0,,0
Heartford,Music of the Heart,https://www.bookspace.world/puzzle/music-of-the-heart/,,0,,0
Heartford,Swingin',https://www.bookspace.world/puzzle/swingin/,,0,,0
Heartford,I'll Tumble 4 Ya,https://www.bookspace.world/puzzle/ill-tumble-4-ya/,,0,,0
Heartford,The Unambiguous Osculation,https://www.bookspace.world/puzzle/the-unambiguous-osculation/,,0,,0
Heartford,Something In Your I's,https://www.bookspace.world/puzzle/something-in-your-is/,,0,,0
Heartford,Funny Face,https://www.bookspace.world/puzzle/funny-face/,,0,,0
Heartford,Love's Labor's Crossed,https://www.bookspace.world/puzzle/loves-labors-crossed/,,0,,0
Heartford,Efficacious,https://www.bookspace.world/puzzle/efficacious/,,0,,0
Heartford,"Love, Actually",https://www.bookspace.world/puzzle/love-actually/,,0,,0
Whoston,Personal Connections,https://www.bookspace.world/puzzle/personal-connections/,,0,,1
Whoston,A Handful of Dishes,https://www.bookspace.world/puzzle/a-handful-of-dishes/,,0,,0
Whoston,Board Members,https://www.bookspace.world/puzzle/board-members/,,0,,0
Whoston,Double Entendre,https://www.bookspace.world/puzzle/double-entendre/,,0,,0
Whoston,Mae Has Amigos,https://www.bookspace.world/puzzle/mae-has-amigos/,,0,,0
Whoston,Midterm of Unspeakable Chaos,https://www.bookspace.world/puzzle/midterm-of-unspeakable-chaos/,,0,,0
Whoston,Rotten Little Scamps,https://www.bookspace.world/puzzle/rotten-little-scamps/,,0,,0
Whoston,Spy Game,https://www.bookspace.world/puzzle/spy-game/,,0,,0
